"coupon_id","country_symbol","amount","submitted_at","accepted_at","lead_receipt_id","offer_id","offer_name","offer_price","rebate_strategy","budget_name","corner_id","user_id","gender","age_group","preferred_language_key","category","receipt_amount","receipt_date","loyalty_card_number","chain","shop_name","shop_address","shop_zip","shop_city","region","webstore","chain_group","chain_type","item_id","item_identifier_product","item_price_product","product_name","product_price","rating","review","rank","answer_id","question_01","question_02","question_03","question_04","question_05","question_06","question_07","question_08","question_09","question_10","proposition_01","proposition_02","proposition_03","proposition_04","proposition_05","proposition_06","proposition_07","proposition_08","proposition_09","proposition_10"
145885164,"uk",1.0,"2024-11-15 18:50:28.268080+00:00","2024-11-17 07:39:50.377265+00:00",51376940,58357,"Onken Greek Style Natural Set- VS3 Nov 24",1.75,"amount_off","","",3972053,"male","45-54","en_GB","Yogurts",114.97,"2024-11-15","","Morrisons","","","","","","","Morrisons","",67349687,"ONKEN GREEK SET",1.95,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148585725,"uk",1.0,"2025-04-30 11:21:44.731021+00:00","2025-04-30 11:57:55.133639+00:00",52962945,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",9241959,"female","35-44","en_GB","Yogurts",1.95,"2025-04-30","","Tesco","","","","","","","Tesco","",69740930,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",1.95,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148709945,"uk",1.0,"2025-05-08 22:14:55.477045+00:00","2025-05-09 04:50:07.474400+00:00",53034013,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",8427099,"male","65+","en_GB","Yogurts",5.15,"2025-05-08","","Morrisons","","","","","","","Morrisons","",69848046,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148387378,"uk",1.0,"2025-04-16 16:57:31.340168+00:00","2025-04-16 17:14:52.456913+00:00",52839577,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",9012808,"male","55-64","en_GB","Yogurts",51.14,"2025-04-16","","Tesco","","","","","","","Tesco","",69563244,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
144408492,"uk",1.0,"2024-10-01 19:08:35.706531+00:00","2024-10-03 07:50:51.565947+00:00",50741384,57723,"Onken Greek Style Natural Set- V1 sep 2024",1.75,"amount_off","","",12122494,"unlisted","25-34","en_GB","Yogurts",1.5,"2024-10-01","","Morrisons","","","","","","","Morrisons","",66392754,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,4,"",1,11696737,"Were you familiar with Onken before the Shopmium offer? [multiple_choice]","If you hadn't bought this product, what would you have bought instead? [multiple_choice]","What occasion did you make this purchase for? [multiple_choice]","How do you/did you plan to use the product? [multiple_choice]","Who did you buy this product for? (Select all that apply) [multiple_answer]","What appealed to you about this product? (Select all that apply) [multiple_answer]","Would you purchase Onken Set Natural again? [multiple_choice]","Do you agree for us to share your review with the brand for potential future marketing purposes? [multiple_choice]","Which of the following brands of Yogurt do you buy the most? [multiple_choice]","","No, I just discovered this brand","Flavored yogurt","Breakfast","I haven't used this product yet","For myself","Other","No, absolutely not!","No","Onken",""
148722537,"uk",1.0,"2025-05-09 17:47:03.444113+00:00","2025-05-09 19:08:44.348636+00:00",53042516,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",8612870,"male","65+","en_GB","Yogurts",4.35,"2025-05-09","","Morrisons","","","","","","","Morrisons","",69860803,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
144407620,"uk",1.0,"2024-10-01 11:57:28.424725+00:00","2024-10-03 05:06:27.040078+00:00",50735022,57723,"Onken Greek Style Natural Set- V1 sep 2024",1.75,"amount_off","","",5945914,"female","55-64","en_GB","Yogurts",33.29,"2024-10-01","","Morrisons","","","","","","","Morrisons","",66382846,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
144407750,"uk",1.0,"2024-10-01 07:31:28.647864+00:00","2024-10-02 17:05:04.594014+00:00",50732521,57723,"Onken Greek Style Natural Set- V1 sep 2024",1.75,"amount_off","","",8639973,"female","45-54","en_GB","Yogurts",22.0,"2024-09-30","","Morrisons","","","","","","","Morrisons","",66378786,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,5,"fabulous yogurt. so thick and creamy. have bought more already!",1,11707194,"Were you familiar with Onken before the Shopmium offer? [multiple_choice]","If you hadn't bought this product, what would you have bought instead? [multiple_choice]","What occasion did you make this purchase for? [multiple_choice]","How do you/did you plan to use the product? [multiple_choice]","Who did you buy this product for? (Select all that apply) [multiple_answer]","What appealed to you about this product? (Select all that apply) [multiple_answer]","Would you purchase Onken Set Natural again? [multiple_choice]","Do you agree for us to share your review with the brand for potential future marketing purposes? [multiple_choice]","Which of the following brands of Yogurt do you buy the most? [multiple_choice]","","Yes, I tried products of this brand once","Low fat yogurt","Breakfast","In a cake","For myself","Brand;Price/offer;I wanted to try something new","Yes, definitely","Yes","Supermarket own brand",""
148416505,"uk",1.0,"2025-04-18 10:57:16.341257+00:00","2025-04-18 11:04:11.656125+00:00",52856016,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",12233180,"male","45-54","en_GB","Yogurts",1.5,"2025-04-14","","Tesco","","","","","","","Tesco","",69587872,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148543716,"uk",1.0,"2025-04-26 15:57:34.069470+00:00","2025-04-27 06:49:07.858026+00:00",52938127,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",7779020,"female","45-54","en_GB","Yogurts",86.08,"2025-04-26","","Tesco","","","","","","","Tesco","",69702642,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
